C created from parVisu 
C Anzahl der Randknoten:
       0       
C Anzahl der Gebietsknoten:
     827       
C Koordinaten und Skalarwerte der Knoten
C --------------------------------------
C Zuerst die Randknoten  (Anzahl s.o.),
C dann die Gebietsknoten (Anzahl s.o.)
C ------------+-------------+-------------+------------------
C     Nr.     |  x-Koord.   |   y-Koord.  |   Skalarwert
C ------------+-------------+-------------+------------------
     292        0.390600000000000 0.0293000000000000 1000.00000000000       
     293        0.406800000000000 0.115700000000000 1000.00000000000       
     294        0.0608000000000000 0.613000000000000 1000.00000000000       
     295        0.0328000000000000 0.595700000000000 1000.00000000000       
     296        0.112400000000000 0.595300000000000 1000.00000000000       
     297        0.971300000000000 0.265600000000000 1000.00000000000       
     298        0.970800000000000 0.328500000000000 1000.00000000000       
     299        0.914500000000000 0.310400000000000 1000.00000000000       
     300        0.971300000000000 0.515600000000000 1000.00000000000       
     301        0.970900000000000 0.578500000000000 1000.00000000000       
     302        0.363100000000000 0.937700000000000 1000.00000000000       
     303        0.359400000000000 0.970700000000000 1000.00000000000       
     304        0.343000000000000 0.884100000000000 1000.00000000000       
     305        0.937700000000000 0.386900000000000 1000.00000000000       
     306        0.970700000000000 0.390600000000000 1000.00000000000       
     307        0.613100000000000 0.937700000000000 1000.00000000000       
     308        0.609400000000000 0.970700000000000 1000.00000000000       
     309        0.593000000000000 0.884800000000000 1000.00000000000       
     310        0.680200000000000 0.542900000000000 1000.00000000000       
     311        0.734700000000000 0.515500000000000 1000.00000000000       
     312        0.401600000000000 0.639600000000000 1000.00000000000       
     313        0.343100000000000 0.606800000000000 1000.00000000000       
     314        0.286900000000000 0.630200000000000 1000.00000000000       
     315        0.311400000000000 0.610000000000000 1000.00000000000       
     316        0.265900000000000 0.579900000000000 1000.00000000000       
     317        0.300100000000000 0.543400000000000 1000.00000000000       
     318        0.594300000000000 0.640100000000000 1000.00000000000       
     319        0.679600000000000 0.647800000000000 1000.00000000000       
     320        0.469700000000000 0.397800000000000 1000.00000000000       
     321        0.0623000000000000 0.364500000000000 1000.00000000000       
     322        0.126700000000000 0.333000000000000 1000.00000000000       
     323        0.0983000000000000 0.356600000000000 1000.00000000000       
     324        0.0738000000000000 0.330600000000000 1000.00000000000       
     325        0.134800000000000 0.371700000000000 1000.00000000000       
     326        0.0623000000000000 0.416500000000000 1000.00000000000       
     327        0.108800000000000 0.433400000000000 1000.00000000000       
     328        0.0333000000000000 0.433400000000000 1000.00000000000       
     329        0.404900000000000 0.584600000000000 10.0000000000000       
     330        0.614500000000000 0.0623000000000000 1000.00000000000       
     331        0.583000000000000 0.126700000000000 1000.00000000000       
     332        0.606600000000000 0.0983000000000000 1000.00000000000       
     333        0.638600000000000 0.126700000000000 1000.00000000000       
     334        0.569300000000000 0.0913000000000000 1000.00000000000       
     335        0.921700000000000 0.554200000000000 1000.00000000000       
     336        0.937700000000000 0.334200000000000 1000.00000000000       
     337        0.577300000000000 0.971500000000000 1000.00000000000       
     338        0.414600000000000 0.612800000000000 1000.00000000000       
     339        0.271400000000000 0.550800000000000 1000.00000000000       
     340        0.198900000000000 0.552300000000000 1000.00000000000       
     341        0.235000000000000 0.544000000000000 1000.00000000000       
     342        0.198600000000000 0.468800000000000 1000.00000000000       
     343        0.208200000000000 0.510500000000000 1000.00000000000       
     344        0.300400000000000 0.503100000000000 1000.00000000000       
     345        0.136900000000000 0.408900000000000 1000.00000000000       
     346        0.0376000000000000 0.484400000000000 1000.00000000000       
     347        0.610800000000000 0.149400000000000 1000.00000000000       
     348        0.571800000000000 0.239600000000000 1000.00000000000       
     349        0.599700000000000 0.198100000000000 1000.00000000000       
     350        0.533600000000000 0.125500000000000 1000.00000000000       
     351        0.939800000000000 0.579500000000000 1000.00000000000       
     352        0.893100000000000 0.522900000000000 1000.00000000000       
     353        0.169400000000000 0.523800000000000 1000.00000000000       
     354        0.243700000000000 0.480400000000000 1000.00000000000       
     355        0.325900000000000 0.519000000000000 1000.00000000000       
     356        0.305400000000000 0.447900000000000 1000.00000000000       
     357        0.172400000000000 0.434000000000000 1000.00000000000       
     358        0.0303000000000000 0.517000000000000 1000.00000000000       
     359        0.0482000000000000 0.546200000000000 1000.00000000000       
     360        0.813100000000000 0.536200000000000 1000.00000000000       
     361        0.153500000000000 0.569600000000000 1000.00000000000       
     362        0.157000000000000 0.482000000000000 1000.00000000000       
     363        0.313700000000000 0.476500000000000 1000.00000000000       
     364        0.278300000000000 0.471200000000000 1000.00000000000       
     365        0.242400000000000 0.405800000000000 1000.00000000000       
     366        0.252300000000000 0.442900000000000 1000.00000000000       
     367        0.851300000000000 0.518700000000000 1000.00000000000       
     368        0.115000000000000 0.475500000000000 1000.00000000000       
     369        0.212100000000000 0.431500000000000 1000.00000000000       
     370        0.868000000000000 0.562600000000000 1000.00000000000       
     371        0.800000000000000 0.456900000000000 1000.00000000000       
     372        0.0965000000000000 0.504700000000000 1000.00000000000       
     373        0.0993000000000000 0.550900000000000 1000.00000000000       
     374        0.0912000000000000 0.457500000000000 1000.00000000000       
     375        0.206700000000000 0.394300000000000 1000.00000000000       
     376        0.896500000000000 0.569000000000000 1000.00000000000       
     377        0.834000000000000 0.480900000000000 1000.00000000000       
     378        0.0706000000000000 0.483300000000000 1000.00000000000       
     379        0.194600000000000 0.327300000000000 15.0000000000000       
     380        0.796400000000000 0.498200000000000 1000.00000000000       
     381        0.851800000000000 0.419600000000000 1000.00000000000       
     382        0.893400000000000 0.399600000000000 1000.00000000000       
     383        0.191100000000000 0.362500000000000 1000.00000000000       
     384        0.161600000000000 0.341800000000000 1000.00000000000       
     385        0.245400000000000 0.350200000000000 1000.00000000000       
     386        0.156900000000000 0.286400000000000 1000.00000000000       
     387        0.772400000000000 0.531400000000000 1000.00000000000       
     388        0.756300000000000 0.473800000000000 1000.00000000000       
     389        0.832300000000000 0.447200000000000 1000.00000000000       
     390        0.802100000000000 0.405200000000000 1000.00000000000       
     391        0.231900000000000 0.377400000000000 1000.00000000000       
     392        0.785400000000000 0.597600000000000 1000.00000000000       
     393        0.739800000000000 0.556000000000000 1000.00000000000       
     394        0.789400000000000 0.562500000000000 1000.00000000000       
     395        0.828700000000000 0.574000000000000 1000.00000000000       
     396        0.728600000000000 0.596300000000000 1000.00000000000       
     397        0.700900000000000 0.619000000000000 1000.00000000000       
     398        0.757300000000000 0.582600000000000 1000.00000000000       
     399        0.0360000000000000 0.103700000000000 1000.00000000000       
     400        0.0588000000000000 0.0786000000000000 1000.00000000000       
     401        0.0910000000000000 0.159100000000000 1000.00000000000       
     402        0.0749000000000000 0.261700000000000 1000.00000000000       
     403        0.115800000000000 0.274500000000000 1000.00000000000       
     404        0.0962000000000000 0.303600000000000 1000.00000000000       
     405        0.130100000000000 0.302100000000000 1000.00000000000       
     406        0.261700000000000 0.0749000000000000 1000.00000000000       
     407        0.288600000000000 0.0931000000000000 1000.00000000000       
     408        0.268100000000000 0.143700000000000 1000.00000000000       
     409        0.209200000000000 0.0301000000000000 1000.00000000000       
     410        0.211100000000000 0.0749000000000000 1000.00000000000       
     411        0.187200000000000 0.119900000000000 1000.00000000000       
